account,totalGasCost,appearanceCount,migrationTransactionHashes,Airdrop Transaction,Airdrop Transasction Status
0x04Ca76Cd80705829aC6d21D5Af780B6fED6aB2D2,1.2457E+15,1,['0x19de7b53957ec6d13bddd6ca4b1485e9e30e14573320c5a56695d0b722834e00'],https://etherscan.io/tx/0x1012fe835f1a71e913fadf15ffad08749fb87daf849cfe4b1ffbc6d4102f457b,SUCCESS
0x04a28c0906a4Ed4d5A16345d8B14007F757c93b3,2.64497E+15,1,['0xdd8adac099b982b922ea075bf1c826e8a3714d663f0daf15b7ab6a2e1f727283'],https://etherscan.io/tx/0x1012fe835f1a71e913fadf15ffad08749fb87daf849cfe4b1ffbc6d4102f457b,SUCCESS
0x04aCcB2c2835F0feDB1cd67A644D3ebBA49c7399,2881620775599956,1,['0x4131448e424a22a91ca50da11a485726f0f14c7eb44ad069dd2284a3de1d1c00'],https://etherscan.io/tx/0x1012fe835f1a71e913fadf15ffad08749fb87daf849cfe4b1ffbc6d4102f457b,SUCCESS
0x04c6F47B718957d60c6cc0ff9f93Df9aC6E3ef6c,2932311741244382,1,['0x1215db6f2af9536a98198d5d76b2539b1eb71a265349311474a9c0d56ffab6dc'],https://etherscan.io/tx/0x1012fe835f1a71e913fadf15ffad08749fb87daf849cfe4b1ffbc6d4102f457b,SUCCESS
0x04fCFbA85C0071bFE1A6E5516479482490a9F4AB,2429143347974502,1,['0x58cfaef5bcb7cc918320c045962e222cef078aef615f72861c42f0e663284a8e'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c23,SUCCESS
0x05054c258AF0D56cAb3C98b3923e93966fE797a3,2.7709E+15,1,['0x16dea3c5db3b4d60307806faf37b3db5803a68e672427d75b580a5dc33de9cfc'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c24,SUCCESS
0x051a3190C9342211Eb311723B23B8c7cBD7b5a5D,1238192132759292,1,['0x627de1bc6705dac044e89971da2595c72ba0642842d8cd558c0c7d4380ae024d'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c25,SUCCESS
0x052A42fCfd87f2790796CcF948DC2721d4694439,3899842283530853,1,['0x74ca108e5aad9da907bbb311a5ff0dd475d343764c94e4cce2e18396ed6631bc'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c26,SUCCESS
0x052aa41b73dcF975c1C547bcc9662f35Fd9D49D8,2387472409972183,1,['0x5d0c11e6a65b1cdd0da0b19be9b46da23cc9a867d0b398112fac306795108420'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c27,SUCCESS
0x053117bed7a678822D6Aaf729988aEF45aD08E31,2.79931E+15,1,['0xf1c685347afad37bf73a775e7a710fa0d7509729ef2b230ef7852a69fa998f4e'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c28,SUCCESS
0x053Be22770Dc0261fe27b392765a313B9a07A8F1,1.63012E+15,1,['0x7440045d6c130c5c8394e8ddb990e967ceb70607d358c5b8f335f2da52688cbe'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c29,SUCCESS
0x05710696d8b1D7C83FD0c8620d5877773581fE75,2458572208160315,1,['0x1dc59e171c4ec98e67c582484335704521fcc7b8fd8b47332e92565346e71ad6'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c30,SUCCESS
0x057847afC5CB5c75C3b38606ECE08A7764816EB3,3222193860869175,1,['0xf4fb59f4026baa39f5f171a245ba24147183f290e5f88e04866dcc406b7f438d'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c31,SUCCESS
0x057f5122a1Ad2B9280ABF92528958ABCA0a7D849,3000587783227275,1,['0x4cc0d439af616b35ef19770d5cdd84168dda1fb257e887c021bb810c50350229'],https://etherscan.io/tx/0x198ed19e657d5cf8a2ccffc869344af7f11f33287b3898dce3e22759d3b19c32,SUCCESS
